============================================================
fluke 5560A — commands.txt
============================================================

Instrument: Fluke 5560A/5550A/5540A/5530A calibrator family
Vendor: fluke
Model: 5560A
Instrument type: multifunction precision calibrator / precision source calibrator
Programming guide: assets/fluke/5560A/programming_guide.md
Service manual: assets/fluke/5560A/service_manual.md
Generated on: 2026-05-06 10:50
Generated by: Junie (GPT-5.3 Codex)
Purpose: Audit-friendly inventory of all remote-control commands found in programming_guide.md.

Local artifact notice:
This file is a local PyMeasure driver-planning artifact. It should not be included in the final upstream PyMeasure pull request.

============================================================
Source rules
============================================================

- all command syntax was extracted from `programming_guide.md`,
- `service_manual.md`, if present, was used only for safety/risk notes,
- ambiguous or OCR-damaged entries are marked as `needs-verification`.

============================================================
Interface summary
============================================================

- IEEE-488/GPIB
- USBTMC
- RS-232
- Ethernet/Telnet
- Synchronization: *WAI, *OPC, *OPC?
- Error/status queue commands include ERR?, FAULT?, EXPLAIN?

============================================================
Command form legend
============================================================

command only
query only
command/query
unknown
needs-verification

Definitions:
command only = write/action command exists, no query form is documented.
query only = query exists, no write/set form is documented.
command/query = both command and query forms are documented.
unknown = the guide mentions the command but the form cannot be determined.
needs-verification = OCR, conversion, or source inconsistency must be checked manually.

============================================================
Command inventory
============================================================

Subsystem | Command | Form | Short description | Source evidence | Notes
Common | *CLS | command only | (Clear Status command) Clears the ESR, ISCR0, ISCR1, the error queue, and the RQS bit in the | Atomic command reference | 
Common | *ESE | command/query | (Event Status Enable command) Loads a byte into the Event Status Enable (ESE) register. (See | Atomic command reference | 
Common | *ESE? | command/query | (Event Status Enable query) Returns the contents of the Event Status Enable (ESE) register. | Atomic command reference | 
Common | *ESR? | query only | (Event Status Register query) Returns the contents of the Event Status Register (ESR) and | Atomic command reference | 
Common | *IDN? | query only | (Identification query) Returns instrument model number, serial number, and firmware revision | Atomic command reference | 
Common | *OPC | command/query | (Operations Complete command) Sets bit 0 (OPC) of the Event Status Register to 1 when all | Atomic command reference | 
Common | *OPC? | command/query | (Operations Complete query) Returns a 1 after all pending operations are complete. This | Atomic command reference | 
Common | *OPT? | query only | (Options command) Returns a list of the installed hardware and software options. | Atomic command reference | 
Common | *PUD | command/query | (Protected User Data command) Stores a string of 64 characters (maximum), which is saved in | Atomic command reference | 
Common | *PUD? | command/query | (Protected User Data query) Returns the contents of the *PUD (Protected User Data) memory in | Atomic command reference | 
Common | *RST | command only | (Reset Instrument command) Resets the Calibrator to the power-up state. *RST holds off | Atomic command reference | 
Common | *SRE | command/query | (Service Request Enable command) Loads a byte into the Service Request Enable (SRE) | Atomic command reference | 
